bucket,win_rate,n,feature,target,threshold
"(-4.897, -0.42]",0.5497702909647779,653,ret_1h,mag_win_2p5,2.5
"(-0.42, -0.238]",0.37059724349157736,653,ret_1h,mag_win_2p5,2.5
"(-0.238, -0.144]",0.35834609494640124,653,ret_1h,mag_win_2p5,2.5
"(-0.144, -0.0645]",0.3124042879019908,653,ret_1h,mag_win_2p5,2.5
"(-0.0645, 0.00299]",0.3430321592649311,653,ret_1h,mag_win_2p5,2.5
"(0.00299, 0.0743]",0.3205521472392638,652,ret_1h,mag_win_2p5,2.5
"(0.0743, 0.152]",0.29709035222052066,653,ret_1h,mag_win_2p5,2.5
"(0.152, 0.261]",0.3568147013782542,653,ret_1h,mag_win_2p5,2.5
"(0.261, 0.441]",0.39203675344563554,653,ret_1h,mag_win_2p5,2.5
"(0.441, 5.027]",0.5405819295558959,653,ret_1h,mag_win_2p5,2.5
"(-5.046, -0.875]",0.5773353751914242,653,ret_4h,mag_win_2p5,2.5
"(-0.875, -0.5]",0.3673780487804878,656,ret_4h,mag_win_2p5,2.5
"(-0.5, -0.273]",0.3128834355828221,652,ret_4h,mag_win_2p5,2.5
"(-0.273, -0.12]",0.3389570552147239,652,ret_4h,mag_win_2p5,2.5
"(-0.12, 0.00133]",0.2745398773006135,652,ret_4h,mag_win_2p5,2.5
"(0.00133, 0.154]",0.2898773006134969,652,ret_4h,mag_win_2p5,2.5
"(0.154, 0.317]",0.38871951219512196,656,ret_4h,mag_win_2p5,2.5
"(0.317, 0.537]",0.39570552147239263,652,ret_4h,mag_win_2p5,2.5
"(0.537, 0.938]",0.39263803680981596,652,ret_4h,mag_win_2p5,2.5
"(0.938, 6.97]",0.5030674846625767,652,ret_4h,mag_win_2p5,2.5
"(-8.54, -2.296]",0.5372023809523809,672,ret_1d,mag_win_2p5,2.5
"(-2.296, -1.281]",0.38425925925925924,648,ret_1d,mag_win_2p5,2.5
"(-1.281, -0.645]",0.3975346687211094,649,ret_1d,mag_win_2p5,2.5
"(-0.645, -0.295]",0.37808641975308643,648,ret_1d,mag_win_2p5,2.5
"(-0.295, 0.0207]",0.37962962962962965,648,ret_1d,mag_win_2p5,2.5
"(0.0207, 0.412]",0.2857142857142857,672,ret_1d,mag_win_2p5,2.5
"(0.412, 0.901]",0.35030864197530864,648,ret_1d,mag_win_2p5,2.5
"(0.901, 1.268]",0.33796296296296297,648,ret_1d,mag_win_2p5,2.5
"(1.268, 2.461]",0.30246913580246915,648,ret_1d,mag_win_2p5,2.5
"(2.461, 9.534]",0.4861111111111111,648,ret_1d,mag_win_2p5,2.5
"(-5.531000000000001, -0.645]",0.5329249617151608,653,accel_1h,mag_win_2p5,2.5
"(-0.645, -0.38]",0.39203675344563554,653,accel_1h,mag_win_2p5,2.5
"(-0.38, -0.226]",0.33996937212863704,653,accel_1h,mag_win_2p5,2.5
"(-0.226, -0.104]",0.3537519142419602,653,accel_1h,mag_win_2p5,2.5
"(-0.104, -0.00691]",0.327718223583461,653,accel_1h,mag_win_2p5,2.5
"(-0.00691, 0.0942]",0.29754601226993865,652,accel_1h,mag_win_2p5,2.5
"(0.0942, 0.214]",0.32465543644716693,653,accel_1h,mag_win_2p5,2.5
"(0.214, 0.369]",0.33690658499234305,653,accel_1h,mag_win_2p5,2.5
"(0.369, 0.644]",0.4165390505359878,653,accel_1h,mag_win_2p5,2.5
"(0.644, 8.093]",0.5191424196018377,653,accel_1h,mag_win_2p5,2.5
"(-5.855, -1.101]",0.6294027565084227,653,close_vs_ema24,mag_win_2p5,2.5
"(-1.101, -0.561]",0.41347626339969373,653,close_vs_ema24,mag_win_2p5,2.5
"(-0.561, -0.301]",0.30474732006125577,653,close_vs_ema24,mag_win_2p5,2.5
"(-0.301, -0.114]",0.28483920367534454,653,close_vs_ema24,mag_win_2p5,2.5
"(-0.114, 0.0422]",0.26952526799387444,653,close_vs_ema24,mag_win_2p5,2.5
"(0.0422, 0.213]",0.3266871165644172,652,close_vs_ema24,mag_win_2p5,2.5
"(0.213, 0.42]",0.30321592649310875,653,close_vs_ema24,mag_win_2p5,2.5
"(0.42, 0.673]",0.33078101071975496,653,close_vs_ema24,mag_win_2p5,2.5
"(0.673, 1.142]",0.445635528330781,653,close_vs_ema24,mag_win_2p5,2.5
"(1.142, 8.344]",0.5329249617151608,653,close_vs_ema24,mag_win_2p5,2.5
"(-12.006, -2.532]",0.6385911179173047,653,close_vs_ema168,mag_win_2p5,2.5
"(-2.532, -1.615]",0.41960183767228176,653,close_vs_ema168,mag_win_2p5,2.5
"(-1.615, -0.877]",0.37978560490045943,653,close_vs_ema168,mag_win_2p5,2.5
"(-0.877, -0.231]",0.4012251148545176,653,close_vs_ema168,mag_win_2p5,2.5
"(-0.231, 0.258]",0.29709035222052066,653,close_vs_ema168,mag_win_2p5,2.5
"(0.258, 0.761]",0.3113496932515337,652,close_vs_ema168,mag_win_2p5,2.5
"(0.761, 1.287]",0.26033690658499237,653,close_vs_ema168,mag_win_2p5,2.5
"(1.287, 1.971]",0.3016845329249617,653,close_vs_ema168,mag_win_2p5,2.5
"(1.971, 3.068]",0.33996937212863704,653,close_vs_ema168,mag_win_2p5,2.5
"(3.068, 8.293]",0.49157733537519144,653,close_vs_ema168,mag_win_2p5,2.5
"(6.149, 17.826]",0.2649310872894334,653,rv_24h,mag_win_2p5,2.5
"(17.826, 22.257]",0.2649310872894334,653,rv_24h,mag_win_2p5,2.5
"(22.257, 25.493]",0.2879019908116386,653,rv_24h,mag_win_2p5,2.5
"(25.493, 29.316]",0.26952526799387444,653,rv_24h,mag_win_2p5,2.5
"(29.316, 32.873]",0.31852986217457885,653,rv_24h,mag_win_2p5,2.5
"(32.873, 37.086]",0.31901840490797545,652,rv_24h,mag_win_2p5,2.5
"(37.086, 43.218]",0.4563552833078101,653,rv_24h,mag_win_2p5,2.5
"(43.218, 49.936]",0.444104134762634,653,rv_24h,mag_win_2p5,2.5
"(49.936, 63.118]",0.4211332312404288,653,rv_24h,mag_win_2p5,2.5
"(63.118, 160.504]",0.7947932618683001,653,rv_24h,mag_win_2p5,2.5
"(0.00038999999999999994, 0.0847]",0.27134146341463417,656,rv_rank,mag_win_2p5,2.5
"(0.0847, 0.157]",0.40061162079510704,654,rv_rank,mag_win_2p5,2.5
"(0.157, 0.245]",0.2665639445300462,649,rv_rank,mag_win_2p5,2.5
"(0.245, 0.35]",0.273972602739726,657,rv_rank,mag_win_2p5,2.5
"(0.35, 0.453]",0.3893129770992366,655,rv_rank,mag_win_2p5,2.5
"(0.453, 0.548]",0.38080495356037153,646,rv_rank,mag_win_2p5,2.5
"(0.548, 0.669]",0.3660030627871363,653,rv_rank,mag_win_2p5,2.5
"(0.669, 0.79]",0.41310975609756095,656,rv_rank,mag_win_2p5,2.5
"(0.79, 0.907]",0.4961832061068702,655,rv_rank,mag_win_2p5,2.5
"(0.907, 1.0]",0.5848765432098766,648,rv_rank,mag_win_2p5,2.5
"(-113.789, -24.731]",0.48392036753445633,653,rv_trend,mag_win_2p5,2.5
"(-24.731, -15.531]",0.3231240428790199,653,rv_trend,mag_win_2p5,2.5
"(-15.531, -9.124]",0.33078101071975496,653,rv_trend,mag_win_2p5,2.5
"(-9.124, -4.422]",0.333843797856049,653,rv_trend,mag_win_2p5,2.5
"(-4.422, -0.252]",0.33996937212863704,653,rv_trend,mag_win_2p5,2.5
"(-0.252, 3.703]",0.3558282208588957,652,rv_trend,mag_win_2p5,2.5
"(3.703, 8.622]",0.34150076569678406,653,rv_trend,mag_win_2p5,2.5
"(8.622, 14.181]",0.31393568147013784,653,rv_trend,mag_win_2p5,2.5
"(14.181, 22.518]",0.3568147013782542,653,rv_trend,mag_win_2p5,2.5
"(22.518, 128.787]",0.6615620214395099,653,rv_trend,mag_win_2p5,2.5
"(0.21, 0.925]",0.24655436447166923,653,bb_width,mag_win_2p5,2.5
"(0.925, 1.187]",0.24961715160796324,653,bb_width,mag_win_2p5,2.5
"(1.187, 1.45]",0.28177641653905056,653,bb_width,mag_win_2p5,2.5
"(1.45, 1.721]",0.2833078101071976,653,bb_width,mag_win_2p5,2.5
"(1.721, 2.058]",0.2986217457886677,653,bb_width,mag_win_2p5,2.5
"(2.058, 2.443]",0.40950920245398775,652,bb_width,mag_win_2p5,2.5
"(2.443, 2.989]",0.4104134762633997,653,bb_width,mag_win_2p5,2.5
"(2.989, 3.724]",0.41807044410413474,653,bb_width,mag_win_2p5,2.5
"(3.724, 5.124]",0.49310872894333846,653,bb_width,mag_win_2p5,2.5
"(5.124, 17.083]",0.7503828483920367,653,bb_width,mag_win_2p5,2.5
"(-2.227, -0.957]",0.3001531393568147,653,vol_z,mag_win_2p5,2.5
"(-0.957, -0.784]",0.34762633996937214,653,vol_z,mag_win_2p5,2.5
"(-0.784, -0.639]",0.333843797856049,653,vol_z,mag_win_2p5,2.5
"(-0.639, -0.495]",0.36906584992343033,653,vol_z,mag_win_2p5,2.5
"(-0.495, -0.321]",0.4119448698315467,653,vol_z,mag_win_2p5,2.5
"(-0.321, -0.11]",0.38496932515337423,652,vol_z,mag_win_2p5,2.5
"(-0.11, 0.187]",0.3889739663093415,653,vol_z,mag_win_2p5,2.5
"(0.187, 0.641]",0.40428790199081166,653,vol_z,mag_win_2p5,2.5
"(0.641, 1.533]",0.43644716692189894,653,vol_z,mag_win_2p5,2.5
"(1.533, 4.726]",0.46401225114854516,653,vol_z,mag_win_2p5,2.5
"(0.141, 0.467]",0.33537519142419603,653,range_ratio,mag_win_2p5,2.5
"(0.467, 0.568]",0.3614088820826952,653,range_ratio,mag_win_2p5,2.5
"(0.568, 0.66]",0.33690658499234305,653,range_ratio,mag_win_2p5,2.5
"(0.66, 0.75]",0.35068912710566613,653,range_ratio,mag_win_2p5,2.5
"(0.75, 0.853]",0.34150076569678406,653,range_ratio,mag_win_2p5,2.5
"(0.853, 0.979]",0.36809815950920244,652,range_ratio,mag_win_2p5,2.5
"(0.979, 1.136]",0.38284839203675347,653,range_ratio,mag_win_2p5,2.5
"(1.136, 1.359]",0.4211332312404288,653,range_ratio,mag_win_2p5,2.5
"(1.359, 1.738]",0.44716692189892804,653,range_ratio,mag_win_2p5,2.5
"(1.738, 8.685]",0.49617151607963245,653,range_ratio,mag_win_2p5,2.5
"(-4.897, -0.42]",0.32924961715160794,653,ret_1h,call_win_2p5,2.5
"(-0.42, -0.238]",0.17304747320061256,653,ret_1h,call_win_2p5,2.5
"(-0.238, -0.144]",0.18223583460949463,653,ret_1h,call_win_2p5,2.5
"(-0.144, -0.0645]",0.16079632465543645,653,ret_1h,call_win_2p5,2.5
"(-0.0645, 0.00299]",0.18223583460949463,653,ret_1h,call_win_2p5,2.5
"(0.00299, 0.0743]",0.14877300613496933,652,ret_1h,call_win_2p5,2.5
"(0.0743, 0.152]",0.14854517611026033,653,ret_1h,call_win_2p5,2.5
"(0.152, 0.261]",0.2006125574272588,653,ret_1h,call_win_2p5,2.5
"(0.261, 0.441]",0.20520673813169985,653,ret_1h,call_win_2p5,2.5
"(0.441, 5.027]",0.28637059724349156,653,ret_1h,call_win_2p5,2.5
"(-5.046, -0.875]",0.35222052067381315,653,ret_4h,call_win_2p5,2.5
"(-0.875, -0.5]",0.21951219512195122,656,ret_4h,call_win_2p5,2.5
"(-0.5, -0.273]",0.13650306748466257,652,ret_4h,call_win_2p5,2.5
"(-0.273, -0.12]",0.1303680981595092,652,ret_4h,call_win_2p5,2.5
"(-0.12, 0.00133]",0.10736196319018405,652,ret_4h,call_win_2p5,2.5
"(0.00133, 0.154]",0.1579754601226994,652,ret_4h,call_win_2p5,2.5
"(0.154, 0.317]",0.21341463414634146,656,ret_4h,call_win_2p5,2.5
"(0.317, 0.537]",0.2085889570552147,652,ret_4h,call_win_2p5,2.5
"(0.537, 0.938]",0.2147239263803681,652,ret_4h,call_win_2p5,2.5
"(0.938, 6.97]",0.27607361963190186,652,ret_4h,call_win_2p5,2.5
"(-8.54, -2.296]",0.29017857142857145,672,ret_1d,call_win_2p5,2.5
"(-2.296, -1.281]",0.12654320987654322,648,ret_1d,call_win_2p5,2.5
"(-1.281, -0.645]",0.20955315870570107,649,ret_1d,call_win_2p5,2.5
"(-0.645, -0.295]",0.19907407407407407,648,ret_1d,call_win_2p5,2.5
"(-0.295, 0.0207]",0.21296296296296297,648,ret_1d,call_win_2p5,2.5
"(0.0207, 0.412]",0.1636904761904762,672,ret_1d,call_win_2p5,2.5
"(0.412, 0.901]",0.2854938271604938,648,ret_1d,call_win_2p5,2.5
"(0.901, 1.268]",0.16820987654320987,648,ret_1d,call_win_2p5,2.5
"(1.268, 2.461]",0.1527777777777778,648,ret_1d,call_win_2p5,2.5
"(2.461, 9.534]",0.20679012345679013,648,ret_1d,call_win_2p5,2.5
"(-5.531000000000001, -0.645]",0.3231240428790199,653,accel_1h,call_win_2p5,2.5
"(-0.645, -0.38]",0.19601837672281777,653,accel_1h,call_win_2p5,2.5
"(-0.38, -0.226]",0.15773353751914243,653,accel_1h,call_win_2p5,2.5
"(-0.226, -0.104]",0.1883614088820827,653,accel_1h,call_win_2p5,2.5
"(-0.104, -0.00691]",0.16232771822358347,653,accel_1h,call_win_2p5,2.5
"(-0.00691, 0.0942]",0.14570552147239263,652,accel_1h,call_win_2p5,2.5
"(0.0942, 0.214]",0.16539050535987748,653,accel_1h,call_win_2p5,2.5
"(0.214, 0.369]",0.1776416539050536,653,accel_1h,call_win_2p5,2.5
"(0.369, 0.644]",0.21286370597243492,653,accel_1h,call_win_2p5,2.5
"(0.644, 8.093]",0.2879019908116386,653,accel_1h,call_win_2p5,2.5
"(-5.855, -1.101]",0.40275650842266464,653,close_vs_ema24,call_win_2p5,2.5
"(-1.101, -0.561]",0.20214395099540583,653,close_vs_ema24,call_win_2p5,2.5
"(-0.561, -0.301]",0.12098009188361408,653,close_vs_ema24,call_win_2p5,2.5
"(-0.301, -0.114]",0.11638591117917305,653,close_vs_ema24,call_win_2p5,2.5
"(-0.114, 0.0422]",0.14241960183767227,653,close_vs_ema24,call_win_2p5,2.5
"(0.0422, 0.213]",0.17791411042944785,652,close_vs_ema24,call_win_2p5,2.5
"(0.213, 0.42]",0.15313935681470137,653,close_vs_ema24,call_win_2p5,2.5
"(0.42, 0.673]",0.18989280245022971,653,close_vs_ema24,call_win_2p5,2.5
"(0.673, 1.142]",0.2664624808575804,653,close_vs_ema24,call_win_2p5,2.5
"(1.142, 8.344]",0.2450229709035222,653,close_vs_ema24,call_win_2p5,2.5
"(-12.006, -2.532]",0.4241960183767228,653,close_vs_ema168,call_win_2p5,2.5
"(-2.532, -1.615]",0.19295558958652373,653,close_vs_ema168,call_win_2p5,2.5
"(-1.615, -0.877]",0.15160796324655437,653,close_vs_ema168,call_win_2p5,2.5
"(-0.877, -0.231]",0.1807044410413476,653,close_vs_ema168,call_win_2p5,2.5
"(-0.231, 0.258]",0.16079632465543645,653,close_vs_ema168,call_win_2p5,2.5
"(0.258, 0.761]",0.17177914110429449,652,close_vs_ema168,call_win_2p5,2.5
"(0.761, 1.287]",0.14088820826952528,653,close_vs_ema168,call_win_2p5,2.5
"(1.287, 1.971]",0.18529862174578868,653,close_vs_ema168,call_win_2p5,2.5
