bucket,win_rate,n,feature,target,threshold
"(1.971, 3.068]",0.1990811638591118,653,close_vs_ema168,call_win_2p5,2.5
"(3.068, 8.293]",0.20980091883614088,653,close_vs_ema168,call_win_2p5,2.5
"(6.149, 17.826]",0.14088820826952528,653,rv_24h,call_win_2p5,2.5
"(17.826, 22.257]",0.12710566615620214,653,rv_24h,call_win_2p5,2.5
"(22.257, 25.493]",0.13782542113323124,653,rv_24h,call_win_2p5,2.5
"(25.493, 29.316]",0.14854517611026033,653,rv_24h,call_win_2p5,2.5
"(29.316, 32.873]",0.10260336906584992,653,rv_24h,call_win_2p5,2.5
"(32.873, 37.086]",0.09815950920245399,652,rv_24h,call_win_2p5,2.5
"(37.086, 43.218]",0.2542113323124043,653,rv_24h,call_win_2p5,2.5
"(43.218, 49.936]",0.25880551301684535,653,rv_24h,call_win_2p5,2.5
"(49.936, 63.118]",0.29555895865237364,653,rv_24h,call_win_2p5,2.5
"(63.118, 160.504]",0.45329249617151607,653,rv_24h,call_win_2p5,2.5
"(0.00038999999999999994, 0.0847]",0.125,656,rv_rank,call_win_2p5,2.5
"(0.0847, 0.157]",0.15749235474006115,654,rv_rank,call_win_2p5,2.5
"(0.157, 0.245]",0.1263482280431433,649,rv_rank,call_win_2p5,2.5
"(0.245, 0.35]",0.1811263318112633,657,rv_rank,call_win_2p5,2.5
"(0.35, 0.453]",0.2,655,rv_rank,call_win_2p5,2.5
"(0.453, 0.548]",0.23219814241486067,646,rv_rank,call_win_2p5,2.5
"(0.548, 0.669]",0.1776416539050536,653,rv_rank,call_win_2p5,2.5
"(0.669, 0.79]",0.20579268292682926,656,rv_rank,call_win_2p5,2.5
"(0.79, 0.907]",0.2641221374045801,655,rv_rank,call_win_2p5,2.5
"(0.907, 1.0]",0.3487654320987654,648,rv_rank,call_win_2p5,2.5
"(-113.789, -24.731]",0.24196018376722817,653,rv_trend,call_win_2p5,2.5
"(-24.731, -15.531]",0.18376722817764166,653,rv_trend,call_win_2p5,2.5
"(-15.531, -9.124]",0.20367534456355282,653,rv_trend,call_win_2p5,2.5
"(-9.124, -4.422]",0.14241960183767227,653,rv_trend,call_win_2p5,2.5
"(-4.422, -0.252]",0.1669218989280245,653,rv_trend,call_win_2p5,2.5
"(-0.252, 3.703]",0.14877300613496933,652,rv_trend,call_win_2p5,2.5
"(3.703, 8.622]",0.17917304747320062,653,rv_trend,call_win_2p5,2.5
"(8.622, 14.181]",0.17304747320061256,653,rv_trend,call_win_2p5,2.5
"(14.181, 22.518]",0.18683001531393567,653,rv_trend,call_win_2p5,2.5
"(22.518, 128.787]",0.3905053598774885,653,rv_trend,call_win_2p5,2.5
"(0.21, 0.925]",0.10260336906584992,653,bb_width,call_win_2p5,2.5
"(0.925, 1.187]",0.10719754977029096,653,bb_width,call_win_2p5,2.5
"(1.187, 1.45]",0.13169984686064318,653,bb_width,call_win_2p5,2.5
"(1.45, 1.721]",0.13782542113323124,653,bb_width,call_win_2p5,2.5
"(1.721, 2.058]",0.14241960183767227,653,bb_width,call_win_2p5,2.5
"(2.058, 2.443]",0.22392638036809817,652,bb_width,call_win_2p5,2.5
"(2.443, 2.989]",0.24196018376722817,653,bb_width,call_win_2p5,2.5
"(2.989, 3.724]",0.23736600306278713,653,bb_width,call_win_2p5,2.5
"(3.724, 5.124]",0.23889739663093415,653,bb_width,call_win_2p5,2.5
"(5.124, 17.083]",0.45329249617151607,653,bb_width,call_win_2p5,2.5
"(-2.227, -0.957]",0.13476263399693722,653,vol_z,call_win_2p5,2.5
"(-0.957, -0.784]",0.16845329249617153,653,vol_z,call_win_2p5,2.5
"(-0.784, -0.639]",0.14088820826952528,653,vol_z,call_win_2p5,2.5
"(-0.639, -0.495]",0.1807044410413476,653,vol_z,call_win_2p5,2.5
"(-0.495, -0.321]",0.21745788667687596,653,vol_z,call_win_2p5,2.5
"(-0.321, -0.11]",0.20245398773006135,652,vol_z,call_win_2p5,2.5
"(-0.11, 0.187]",0.21745788667687596,653,vol_z,call_win_2p5,2.5
"(0.187, 0.641]",0.23124042879019907,653,vol_z,call_win_2p5,2.5
"(0.641, 1.533]",0.25880551301684535,653,vol_z,call_win_2p5,2.5
"(1.533, 4.726]",0.2649310872894334,653,vol_z,call_win_2p5,2.5
"(0.141, 0.467]",0.1638591117917305,653,range_ratio,call_win_2p5,2.5
"(0.467, 0.568]",0.16079632465543645,653,range_ratio,call_win_2p5,2.5
"(0.568, 0.66]",0.16079632465543645,653,range_ratio,call_win_2p5,2.5
"(0.66, 0.75]",0.17917304747320062,653,range_ratio,call_win_2p5,2.5
"(0.75, 0.853]",0.16539050535987748,653,range_ratio,call_win_2p5,2.5
"(0.853, 0.979]",0.18865030674846625,652,range_ratio,call_win_2p5,2.5
"(0.979, 1.136]",0.21898928024502298,653,range_ratio,call_win_2p5,2.5
"(1.136, 1.359]",0.26033690658499237,653,range_ratio,call_win_2p5,2.5
"(1.359, 1.738]",0.24655436447166923,653,range_ratio,call_win_2p5,2.5
"(1.738, 8.685]",0.2725880551301684,653,range_ratio,call_win_2p5,2.5
"(-4.897, -0.42]",0.28483920367534454,653,ret_1h,put_win_2p5,2.5
"(-0.42, -0.238]",0.20520673813169985,653,ret_1h,put_win_2p5,2.5
"(-0.238, -0.144]",0.19601837672281777,653,ret_1h,put_win_2p5,2.5
"(-0.144, -0.0645]",0.1638591117917305,653,ret_1h,put_win_2p5,2.5
"(-0.0645, 0.00299]",0.17151607963246554,653,ret_1h,put_win_2p5,2.5
"(0.00299, 0.0743]",0.18404907975460122,652,ret_1h,put_win_2p5,2.5
"(0.0743, 0.152]",0.1546707503828484,653,ret_1h,put_win_2p5,2.5
"(0.152, 0.261]",0.16539050535987748,653,ret_1h,put_win_2p5,2.5
"(0.261, 0.441]",0.20520673813169985,653,ret_1h,put_win_2p5,2.5
"(0.441, 5.027]",0.3016845329249617,653,ret_1h,put_win_2p5,2.5
"(-5.046, -0.875]",0.30627871362940273,653,ret_4h,put_win_2p5,2.5
"(-0.875, -0.5]",0.17378048780487804,656,ret_4h,put_win_2p5,2.5
"(-0.5, -0.273]",0.18558282208588958,652,ret_4h,put_win_2p5,2.5
"(-0.273, -0.12]",0.2147239263803681,652,ret_4h,put_win_2p5,2.5
"(-0.12, 0.00133]",0.16717791411042945,652,ret_4h,put_win_2p5,2.5
"(0.00133, 0.154]",0.13650306748466257,652,ret_4h,put_win_2p5,2.5
"(0.154, 0.317]",0.19054878048780488,656,ret_4h,put_win_2p5,2.5
"(0.317, 0.537]",0.20552147239263804,652,ret_4h,put_win_2p5,2.5
"(0.537, 0.938]",0.200920245398773,652,ret_4h,put_win_2p5,2.5
"(0.938, 6.97]",0.25153374233128833,652,ret_4h,put_win_2p5,2.5
"(-8.54, -2.296]",0.3020833333333333,672,ret_1d,put_win_2p5,2.5
"(-2.296, -1.281]",0.2716049382716049,648,ret_1d,put_win_2p5,2.5
"(-1.281, -0.645]",0.2049306625577812,649,ret_1d,put_win_2p5,2.5
"(-0.645, -0.295]",0.1882716049382716,648,ret_1d,put_win_2p5,2.5
"(-0.295, 0.0207]",0.1712962962962963,648,ret_1d,put_win_2p5,2.5
"(0.0207, 0.412]",0.12648809523809523,672,ret_1d,put_win_2p5,2.5
"(0.412, 0.901]",0.09722222222222222,648,ret_1d,put_win_2p5,2.5
"(0.901, 1.268]",0.19753086419753085,648,ret_1d,put_win_2p5,2.5
"(1.268, 2.461]",0.14969135802469136,648,ret_1d,put_win_2p5,2.5
"(2.461, 9.534]",0.32253086419753085,648,ret_1d,put_win_2p5,2.5
"(-5.531000000000001, -0.645]",0.2649310872894334,653,accel_1h,put_win_2p5,2.5
"(-0.645, -0.38]",0.21439509954058192,653,accel_1h,put_win_2p5,2.5
"(-0.38, -0.226]",0.19754977029096477,653,accel_1h,put_win_2p5,2.5
"(-0.226, -0.104]",0.16998468606431852,653,accel_1h,put_win_2p5,2.5
"(-0.104, -0.00691]",0.17457886676875958,653,accel_1h,put_win_2p5,2.5
"(-0.00691, 0.0942]",0.16717791411042945,652,accel_1h,put_win_2p5,2.5
"(0.0942, 0.214]",0.1669218989280245,653,accel_1h,put_win_2p5,2.5
"(0.214, 0.369]",0.16845329249617153,653,accel_1h,put_win_2p5,2.5
"(0.369, 0.644]",0.222052067381317,653,accel_1h,put_win_2p5,2.5
"(0.644, 8.093]",0.28637059724349156,653,accel_1h,put_win_2p5,2.5
"(-5.855, -1.101]",0.33843797856049007,653,close_vs_ema24,put_win_2p5,2.5
"(-1.101, -0.561]",0.222052067381317,653,close_vs_ema24,put_win_2p5,2.5
"(-0.561, -0.301]",0.19295558958652373,653,close_vs_ema24,put_win_2p5,2.5
"(-0.301, -0.114]",0.16845329249617153,653,close_vs_ema24,put_win_2p5,2.5
"(-0.114, 0.0422]",0.13169984686064318,653,close_vs_ema24,put_win_2p5,2.5
"(0.0422, 0.213]",0.15184049079754602,652,close_vs_ema24,put_win_2p5,2.5
"(0.213, 0.42]",0.1669218989280245,653,close_vs_ema24,put_win_2p5,2.5
"(0.42, 0.673]",0.14701378254211334,653,close_vs_ema24,put_win_2p5,2.5
"(0.673, 1.142]",0.2006125574272588,653,close_vs_ema24,put_win_2p5,2.5
"(1.142, 8.344]",0.3124042879019908,653,close_vs_ema24,put_win_2p5,2.5
"(-12.006, -2.532]",0.31393568147013784,653,close_vs_ema168,put_win_2p5,2.5
"(-2.532, -1.615]",0.23889739663093415,653,close_vs_ema168,put_win_2p5,2.5
"(-1.615, -0.877]",0.22970903522205208,653,close_vs_ema168,put_win_2p5,2.5
"(-0.877, -0.231]",0.22358346094946402,653,close_vs_ema168,put_win_2p5,2.5
"(-0.231, 0.258]",0.14548238897396631,653,close_vs_ema168,put_win_2p5,2.5
"(0.258, 0.761]",0.14877300613496933,652,close_vs_ema168,put_win_2p5,2.5
"(0.761, 1.287]",0.13935681470137826,653,close_vs_ema168,put_win_2p5,2.5
"(1.287, 1.971]",0.1225114854517611,653,close_vs_ema168,put_win_2p5,2.5
"(1.971, 3.068]",0.15926493108728942,653,close_vs_ema168,put_win_2p5,2.5
"(3.068, 8.293]",0.3108728943338438,653,close_vs_ema168,put_win_2p5,2.5
"(6.149, 17.826]",0.12404287901990811,653,rv_24h,put_win_2p5,2.5
"(17.826, 22.257]",0.13782542113323124,653,rv_24h,put_win_2p5,2.5
"(22.257, 25.493]",0.15007656967840735,653,rv_24h,put_win_2p5,2.5
"(25.493, 29.316]",0.12098009188361408,653,rv_24h,put_win_2p5,2.5
"(29.316, 32.873]",0.21592649310872894,653,rv_24h,put_win_2p5,2.5
"(32.873, 37.086]",0.23773006134969324,652,rv_24h,put_win_2p5,2.5
"(37.086, 43.218]",0.24042879019908117,653,rv_24h,put_win_2p5,2.5
"(43.218, 49.936]",0.2006125574272588,653,rv_24h,put_win_2p5,2.5
"(49.936, 63.118]",0.16539050535987748,653,rv_24h,put_win_2p5,2.5
"(63.118, 160.504]",0.43950995405819293,653,rv_24h,put_win_2p5,2.5
"(0.00038999999999999994, 0.0847]",0.14634146341463414,656,rv_rank,put_win_2p5,2.5
"(0.0847, 0.157]",0.24311926605504589,654,rv_rank,put_win_2p5,2.5
"(0.157, 0.245]",0.14021571648690292,649,rv_rank,put_win_2p5,2.5
"(0.245, 0.35]",0.1035007610350076,657,rv_rank,put_win_2p5,2.5
"(0.35, 0.453]",0.23511450381679388,655,rv_rank,put_win_2p5,2.5
"(0.453, 0.548]",0.1563467492260062,646,rv_rank,put_win_2p5,2.5
"(0.548, 0.669]",0.19754977029096477,653,rv_rank,put_win_2p5,2.5
"(0.669, 0.79]",0.23170731707317074,656,rv_rank,put_win_2p5,2.5
"(0.79, 0.907]",0.28549618320610687,655,rv_rank,put_win_2p5,2.5
"(0.907, 1.0]",0.2932098765432099,648,rv_rank,put_win_2p5,2.5
"(-113.789, -24.731]",0.26339969372128635,653,rv_trend,put_win_2p5,2.5
"(-24.731, -15.531]",0.14701378254211334,653,rv_trend,put_win_2p5,2.5
"(-15.531, -9.124]",0.15773353751914243,653,rv_trend,put_win_2p5,2.5
"(-9.124, -4.422]",0.2113323124042879,653,rv_trend,put_win_2p5,2.5
"(-4.422, -0.252]",0.17457886676875958,653,rv_trend,put_win_2p5,2.5
"(-0.252, 3.703]",0.2085889570552147,652,rv_trend,put_win_2p5,2.5
"(3.703, 8.622]",0.1669218989280245,653,rv_trend,put_win_2p5,2.5
"(8.622, 14.181]",0.16079632465543645,653,rv_trend,put_win_2p5,2.5
"(14.181, 22.518]",0.1883614088820827,653,rv_trend,put_win_2p5,2.5
"(22.518, 128.787]",0.3537519142419602,653,rv_trend,put_win_2p5,2.5
"(0.21, 0.925]",0.1439509954058193,653,bb_width,put_win_2p5,2.5
"(0.925, 1.187]",0.14241960183767227,653,bb_width,put_win_2p5,2.5
"(1.187, 1.45]",0.15313935681470137,653,bb_width,put_win_2p5,2.5
"(1.45, 1.721]",0.15773353751914243,653,bb_width,put_win_2p5,2.5
"(1.721, 2.058]",0.16845329249617153,653,bb_width,put_win_2p5,2.5
"(2.058, 2.443]",0.2085889570552147,652,bb_width,put_win_2p5,2.5
"(2.443, 2.989]",0.1807044410413476,653,bb_width,put_win_2p5,2.5
"(2.989, 3.724]",0.1883614088820827,653,bb_width,put_win_2p5,2.5
"(3.724, 5.124]",0.2879019908116386,653,bb_width,put_win_2p5,2.5
"(5.124, 17.083]",0.4012251148545176,653,bb_width,put_win_2p5,2.5
"(-2.227, -0.957]",0.16845329249617153,653,vol_z,put_win_2p5,2.5
"(-0.957, -0.784]",0.19754977029096477,653,vol_z,put_win_2p5,2.5
"(-0.784, -0.639]",0.2113323124042879,653,vol_z,put_win_2p5,2.5
"(-0.639, -0.495]",0.20520673813169985,653,vol_z,put_win_2p5,2.5
"(-0.495, -0.321]",0.21439509954058192,653,vol_z,put_win_2p5,2.5
"(-0.321, -0.11]",0.19325153374233128,652,vol_z,put_win_2p5,2.5
"(-0.11, 0.187]",0.18529862174578868,653,vol_z,put_win_2p5,2.5
"(0.187, 0.641]",0.19448698315467075,653,vol_z,put_win_2p5,2.5
"(0.641, 1.533]",0.21745788667687596,653,vol_z,put_win_2p5,2.5
"(1.533, 4.726]",0.2450229709035222,653,vol_z,put_win_2p5,2.5
"(0.141, 0.467]",0.1807044410413476,653,range_ratio,put_win_2p5,2.5
"(0.467, 0.568]",0.2113323124042879,653,range_ratio,put_win_2p5,2.5
"(0.568, 0.66]",0.18683001531393567,653,range_ratio,put_win_2p5,2.5
"(0.66, 0.75]",0.19601837672281777,653,range_ratio,put_win_2p5,2.5
"(0.75, 0.853]",0.19142419601837674,653,range_ratio,put_win_2p5,2.5
"(0.853, 0.979]",0.19631901840490798,652,range_ratio,put_win_2p5,2.5
"(0.979, 1.136]",0.18223583460949463,653,range_ratio,put_win_2p5,2.5
"(1.136, 1.359]",0.18683001531393567,653,range_ratio,put_win_2p5,2.5
"(1.359, 1.738]",0.2327718223583461,653,range_ratio,put_win_2p5,2.5
"(1.738, 8.685]",0.2679938744257274,653,range_ratio,put_win_2p5,2.5
